episode,cumulative_reward,average_reward,discounted_reward,convergence_rate,sample_efficiency,policy_entropy,space_complexity
267,334,10.4375,2.3439900001233664,,16,1.2834968401875813e-05,33795
268,384,12.0,10.043990209004422,,16,0.024122847244143486,33795
269,340,10.625,6.754561002750003e-06,,16,0.002644068095833063,33795
270,422,13.1875,7.833329900440187,,16,0.6168654561042786,33795
271,338,10.5625,6.731999999999999,,16,0.021600862964987755,33795
272,296,9.25,9.901665400019821,,16,0.0033421646803617477,33795
273,238,7.4375,2.2000044000000996,,16,0.17791640758514404,33795
274,392,12.25,0.0025300014300664608,,16,0.0012650955468416214,33795
275,308,9.625,0.03410000001446501,,16,0.02605384960770607,33795
276,326,10.1875,0.14301552254770009,,16,0.0034302035346627235,33795
277,316,9.875,0.03300000187000005,,16,0.1272299587726593,33795
278,414,12.9375,11.001661033335498,,16,0.380488783121109,33795
279,432,13.5,0.13288019965016545,,16,0.017333127558231354,33795
280,224,7.0,0.012333201764400331,,16,0.0573691800236702,33795
281,382,11.9375,0.2640156098801761,,15,0.0016437877202406526,33795
282,308,9.625,11.110990154329997,,16,0.007674446329474449,33795
283,384,12.0,8.932889999000068,,16,0.6112419962882996,33795
284,352,11.0,0.04543000198220001,,16,0.6344747543334961,33795
285,230,7.1875,2.277020901879904e-06,,16,0.051881805062294006,33795
286,180,5.625,1.1015400332201764,,16,0.1668308973312378,33795
287,438,13.6875,0.00022017755553256567,,16,0.5393463373184204,33795
288,274,8.5625,3.4221132549999997,,16,0.46074336767196655,33795
289,298,9.3125,0.0017600015620000005,,16,0.7242240309715271,33795
290,316,9.875,0.18700331144016505,,16,0.4295944273471832,33795
291,324,10.125,2.428800015400024e-07,,16,0.5908877849578857,33795
292,386,12.0625,9.901320011000212,,16,0.7246419787406921,33795
293,390,12.1875,12.100018700550143,,15,0.7211988568305969,33795
294,430,13.4375,1.8877433304535706e-07,,16,0.14825381338596344,33795
295,390,12.1875,0.19801554301875504,,16,0.17874744534492493,33795
296,372,11.625,2.2000343200110274e-05,,16,0.03471197560429573,33795
297,482,15.0625,1.1011001436633001,,16,0.6886728405952454,33795
298,292,9.125,0.12166003333000006,,14,0.10660836845636368,33795
299,416,13.0,0.06600014302427845,,16,0.06633280217647552,33795
300,236,7.375,0.14300019800015515,,16,0.000490204431116581,33795
301,450,14.0625,0.0020977000055005927,,16,0.10195830464363098,33795
302,314,9.8125,0.07700000210662102,,16,0.02782447822391987,33795
303,332,10.375,0.21010000155650188,,16,0.0021608001552522182,33795
304,366,11.4375,7.821002222022003,,16,0.22425788640975952,33795
305,406,12.6875,1.5598019867233105e-05,,16,0.01107756793498993,33795
306,296,9.25,0.023210166430001813,,15,0.004771691747009754,33795
307,314,9.8125,3.3110022114399995,,16,0.48016393184661865,33795
308,362,11.3125,0.0011000000121007838,,16,0.7832880020141602,33795
309,398,12.4375,3.3550056005399993,,16,0.5543291568756104,33795
310,202,6.3125,1.1004400019977332,,16,0.0055708978325128555,33795
311,332,10.375,0.023210034320066027,,16,0.2573358416557312,33795
312,200,6.25,1.1000000000028794e-05,,16,0.00044442445505410433,33795
313,328,10.25,0.26400014432015406,,15,0.007019656244665384,33795
314,286,8.9375,4.400001155011004,,16,0.00016269064508378506,33795
315,248,7.75,0.0008845549988006603,,16,0.020167386159300804,33795
316,392,12.25,0.0019932003301986606,,15,0.6407891511917114,33795
317,552,17.25,2.3333332000211193,,16,0.6155459880828857,33795
318,420,13.125,13.332660165000187,,16,0.01421140693128109,33795
319,428,13.375,6.733320001870156,,16,0.36991384625434875,33795
320,440,13.75,2.6488336601870347e-05,,16,0.08138826489448547,33795
321,230,7.1875,0.1430002530000228,,15,0.3356575071811676,33795
322,316,9.875,7.700000000033007e-08,,16,0.7018952369689941,33795
323,182,5.6875,1.1000022,,16,0.5936142802238464,33795
324,392,12.25,0.16610003301760237,,16,0.29407137632369995,33795
325,258,8.0625,1.6501980000000008e-05,,16,0.002826203126460314,33795
326,312,9.75,0.0015576558921000004,,16,0.39421898126602173,33795
327,392,12.25,1.4366558802693057e-09,,15,0.4549049139022827,33795
328,208,6.5,0.0016501540000880002,,16,0.0124887116253376,33795
329,328,10.25,0.06600000209004403,,16,0.644827127456665,33795
330,240,7.5,1.9910018702090016e-07,,15,0.010523492470383644,33795
331,344,10.75,7.701776500334488,,16,0.0006542528863064945,33795
332,368,11.5,1.8810020902890066e-09,,15,0.5161959528923035,33795
333,354,11.0625,0.19802310000220164,,16,0.01037223543971777,33795
334,344,10.75,0.044000045320001555,,16,0.03669814392924309,33795
335,344,10.75,0.2647767210209881,,16,0.6352604627609253,33795
336,320,10.0,0.16665000264114527,,16,0.015893006697297096,33795
337,260,8.125,2.234100000220001,,15,0.04799140244722366,33795
338,270,8.4375,0.0013277002200000104,,16,0.0020371319260448217,33795
339,444,13.875,0.24200000220021056,,16,0.9296507835388184,33795
340,348,10.875,0.24201430001435614,,16,0.002557460218667984,33795
341,234,7.3125,1.101430001551022,,15,0.01080950628966093,33795
342,402,12.5625,0.0016511000000660435,,16,0.015700822696089745,33795
343,326,10.1875,0.19800020944019808,,16,0.41008126735687256,33795
344,450,14.0625,12.266115532020901,,16,0.5929697155952454,33795
345,334,10.4375,1.774421440015071e-05,,16,0.028078963980078697,33795
346,390,12.1875,2.200000155119833,,16,0.4502863883972168,33795
347,422,13.1875,11.000005500000002,,15,0.39987829327583313,33795
348,184,5.75,1.545544000111871e-07,,15,0.05307557061314583,33795
349,304,9.5,1.556500440068991e-07,,16,0.00163659593090415,33795
350,386,12.0625,0.19921026401768804,,16,0.4028487205505371,33795
351,362,11.3125,0.04402104366019947,,16,0.009476248174905777,33795
352,338,10.5625,2.3336500000001656,,15,0.010054362006485462,33795
353,330,10.3125,0.022000000001100042,,16,0.03247607499361038,33795
354,416,13.0,2.3210000145002521e-07,,16,0.08812406659126282,33795
355,368,11.5,0.0018700005501554571,,16,0.08781194686889648,33795
356,412,12.875,0.1663299660198025,,16,0.21595701575279236,33795
357,424,13.25,1.3277770005390298e-07,,16,0.14479738473892212,33795
358,304,9.5,0.12101654401870146,,16,0.10138407349586487,33795
359,368,11.5,0.03389103300000003,,16,0.6014791131019592,33795
360,372,11.625,0.0018832550154672379,,16,0.00818469375371933,33795
361,324,10.125,0.04400014421990002,,16,0.8216657638549805,33795
362,430,13.4375,0.19855671001870193,,16,0.1355808675289154,33795
363,392,12.25,0.06601760001995403,,16,0.6850005388259888,33795
364,306,9.5625,6.600016665220144,,16,0.23034165799617767,33795
365,180,5.625,0.055000143443300016,,16,0.008882075548171997,33795
366,288,9.0,5.644662101216601,,16,0.0037600179202854633,33795
367,282,8.8125,0.155216721660001,,15,0.502032995223999,33795
368,292,9.125,0.16501543366330007,,16,0.6993322372436523,33795
369,310,9.6875,6.6770188877843015,,16,0.5213977098464966,33795
370,172,5.375,0.022000002200001433,,15,0.23686069250106812,33795
371,208,6.5,0.09900026400000006,,16,0.0003953287668991834,33795
372,294,9.1875,0.05501650000016501,,16,0.00039222289342433214,33795
373,312,9.75,0.05544770000000233,,16,0.24640172719955444,33795
374,300,9.375,0.03301444443557701,,15,0.3790125548839569,33795
375,416,13.0,0.0018855980001980003,,16,0.21837247908115387,33795
376,306,9.5625,0.14455100002310006,,16,0.10370798408985138,33795
377,374,11.6875,1.2105502640033003,,16,0.2580561935901642,33795
378,402,12.5625,1.1331233333476793e-06,,16,0.6328138709068298,33795
379,356,11.125,2.6401650154022016e-07,,16,0.03270073980093002,33795
380,344,10.75,0.001980000002333344,,16,0.6348046064376831,33795
381,348,10.875,13.200018701540001,,16,0.007249799091368914,33795
382,222,6.9375,1.7600000055012114e-05,,16,0.002504149917513132,33795
383,166,5.1875,7.722000110009902e-06,,15,0.4156028628349304,33795
384,376,11.75,0.07778003332000061,,16,0.1401607245206833,33795
385,264,8.25,0.00011018702099988028,,16,0.7057960629463196,33795
386,284,8.875,3.3000088004400014,,16,0.16306886076927185,33795
387,402,12.5625,0.0016676000231880001,,16,0.15613244473934174,33795
388,294,9.1875,0.0027588000188430144,,16,0.6298735737800598,33795
389,370,11.5625,1.1221100880002004,,16,0.6744272112846375,33795
390,378,11.8125,7.865990000025389,,16,0.36918607354164124,33795
391,334,10.4375,0.0017600017776770104,,16,0.06286562234163284,33795
392,450,14.0625,0.24333226665220023,,16,0.003543713828548789,33795
393,246,7.6875,0.0017600000000015548,,16,0.16127909719944,33795
394,416,13.0,0.14454000177210066,,16,0.6545611619949341,33795
395,324,10.125,1.6501661121036307e-05,,16,0.01559484750032425,33795
396,450,14.0625,14.30198000166224,,15,0.5124878287315369,33795
397,314,9.8125,4.4014465000275046e-08,,15,0.004682076163589954,33795
398,276,8.625,1.760211990900041e-11,,16,0.008826627396047115,33795
399,336,10.5,0.0001221000166650231,,16,0.5646772384643555,33795
400,294,9.1875,0.0021109000000017605,,16,0.1757889688014984,33795
401,296,9.25,14.301870002090022,,16,0.0023786963429301977,33795
402,452,14.125,0.0017601210002530007,,15,0.35740864276885986,33795
403,332,10.375,4.400018876000002,,16,0.7126652002334595,33795
404,306,9.5625,6.633025300014412,,16,0.4475066661834717,33795
405,370,11.5625,13.322320000016674,,16,0.002511650323867798,33795
406,426,13.3125,0.1994300016677003,,15,0.04882363602519035,33795
407,330,10.3125,1.870000014455131e-05,,16,0.05291552096605301,33795
408,246,7.6875,0.1870055771100015,,16,0.00028373015811666846,33795
409,274,8.5625,0.0024200880001557607,,16,0.594504177570343,33795
410,458,14.3125,12.254440187334554,,16,0.03630867972970009,33795
411,370,11.5625,2.2550001980465653e-06,,16,0.7777582406997681,33795
412,328,10.25,0.05611650253662206,,16,0.05604926496744156,33795
413,410,12.8125,0.1885576000001775,,16,0.0023890978191047907,33795
414,408,12.75,0.045210001663256345,,16,0.061198532581329346,33795
415,444,13.875,0.16622870154446717,,16,0.34252285957336426,33795
416,270,8.4375,3.422430144663202,,16,0.24407005310058594,33795
417,294,9.1875,9.900019855783365,,16,0.008052443154156208,33795
418,286,8.9375,2.200000077014388,,16,0.11797173321247101,33795
419,268,8.375,8.8000033,,16,0.7106132507324219,33795
