episode,step,state,action,reward,next_state,terminated,cumulative_reward,average_reward,discounted_reward,convergence_rate,sample_efficiency,policy_consistency,policy_entropy,time_complexity,space_complexity
78,16,[ 5. 10.],,,,True,444,13.875,0.16665019987024282,5.222222222222222,32,1.0,0.19454264640808105,0.0008001327514648438,33795
79,16,[ 0. 47.],,,,True,418,13.0625,11.000343201980177,-3.3333333333333335,32,1.0,0.19447185099124908,0.0009520053863525391,33795
80,16,[57. 34.],,,,True,490,15.3125,24.2019899,-1.6666666666666667,32,1.0,0.6471925377845764,0.0006885528564453125,33795
81,16,[ 6. 21.],,,,True,432,13.5,42.90066012156224,0.1111111111111111,32,1.0,0.5517158508300781,0.0008132457733154297,33795
82,16,[11. 29.],,,,True,420,13.125,5.5448922223432576e-06,2.7777777777777777,32,1.0,0.13892769813537598,0.0010209083557128906,33795
83,16,[ 0. 18.],,,,True,308,9.625,8.80155541100019,-3.111111111111111,32,1.0,0.3336331248283386,0.0006911754608154297,33795
84,16,[10. 29.],,,,True,426,13.3125,14.3002200011,-1.5555555555555556,32,1.0,0.06945687532424927,0.0007843971252441406,33795
85,16,[22. 18.],,,,True,318,9.9375,2.0900220145226413e-07,4.333333333333333,32,1.0,0.21443936228752136,0.0007305145263671875,33795
86,16,[ 0. 37.],,,,True,416,13.0,0.2642277011089439,-2.111111111111111,32,1.0,0.06153145805001259,0.0007202625274658203,33795
87,16,[9. 0.],,,,True,324,10.125,0.15400000000000127,0.8888888888888888,32,1.0,0.01333712600171566,0.0008587837219238281,33795
88,16,[29. 26.],,,,True,314,9.8125,0.06600009967328802,3.888888888888889,32,1.0,0.39625200629234314,0.0007963180541992188,33795
89,16,[14.  7.],,,,True,468,14.625,0.0016622005400011007,-1.4444444444444444,32,1.0,0.19355854392051697,0.0007126331329345703,33795
90,16,[ 5. 30.],,,,True,378,11.8125,0.0014301320132000237,-0.1111111111111111,32,1.0,0.07126204669475555,0.0007123947143554688,33795
91,16,[ 1. 29.],,,,True,258,8.0625,2.5377022011880027e-07,5.444444444444445,32,1.0,0.07826588302850723,0.000728607177734375,33795
92,16,[15. 10.],,,,True,318,9.9375,0.13200005500007725,-1.2222222222222223,32,1.0,0.07683929800987244,0.000690460205078125,33795
93,16,[40. 48.],,,,True,328,10.25,0.14301980000550257,3.3333333333333335,32,1.0,0.7760471105575562,0.0007660388946533203,33795
94,16,[8. 0.],,,,True,364,11.375,13.2990165000099,0.1111111111111111,32,1.0,0.28686437010765076,0.0007219314575195312,33795
95,16,[ 0. 42.],,,,True,420,13.125,0.18843019943000017,-4.555555555555555,32,1.0,0.07983103394508362,0.0008912086486816406,33795
96,16,[33. 17.],,,,True,428,13.375,0.0017602420002535725,1.2222222222222223,32,1.0,0.2839541733264923,0.0008008480072021484,33795
97,16,[38. 30.],,,,True,322,10.0625,6.602530176023102,0.7777777777777778,32,1.0,0.29809704422950745,0.0007076263427734375,33795
98,16,[15. 42.],,,,True,358,11.1875,0.08855776600019803,4.666666666666667,32,1.0,0.36851122975349426,0.0010724067687988281,33795
99,16,[18. 44.],,,,True,328,10.25,0.14300000055006606,2.7777777777777777,32,1.0,0.30087149143218994,0.000720977783203125,33795
100,16,[16. 43.],,,,True,272,8.5,1.6500000001688724e-05,1.8888888888888888,32,1.0,0.38494622707366943,0.0008041858673095703,33795
101,16,[ 9. 46.],,,,True,388,12.125,41.8220198000154,2.2222222222222223,32,1.0,0.5797118544578552,0.0008378028869628906,33795
102,16,[ 0. 13.],,,,True,286,8.9375,13.3107777,0.0,32,1.0,0.0005340373609215021,0.00069427490234375,33795
