episode,step,state,action,reward,next_state,terminated,cumulative_reward,average_reward,discounted_reward,convergence_rate,sample_efficiency,policy_consistency,policy_entropy,time_complexity,space_complexity
7,11,"(4, 4)",[1],35,"(2, 3)",False,373,33.90909090909091,35.04081904599999,7,11,0.36363636363636365,0.5252965948346479,0.011718034744262695,2400
7,12,"(2, 3)",[1],37,"(1, 2)",False,408,34.0,35.04081904634999,7,12,0.41666666666666663,0.6110390756647006,0.011781930923461914,2400
7,13,"(1, 2)",[2],73,"(3, 2)",False,445,34.23076923076923,35.040819046386986,8,13,0.3846153846153846,0.6017222861122865,0.011845827102661133,2400
7,14,"(3, 2)",[0],0,"(0, 2)",False,518,37.0,35.04081904639428,9,14,0.3571428571428571,-0.5074674291036761,0.011910438537597656,2400
7,15,"(0, 2)",[1],38,"(0, 0)",True,518,34.53333333333333,35.04081904639428,10,15,0.33333333333333337,-0.6476933541502023,0.01197361946105957,2400
8,0,"(1, 7)",[2],63,"(8, 6)",False,0,0,0,0,0,1,0,0.01207733154296875,2400
8,1,"(8, 6)",[2],60,"(9, 8)",False,63,63.0,63.0,0,1,1.0,0.3056206999071705,0.012161493301391602,2400
8,2,"(9, 8)",[2],60,"(9, 5)",False,123,61.5,69.0,0,2,1.0,-1.6638310719636809,0.012227773666381836,2400
8,3,"(9, 5)",[1],32,"(3, 5)",False,183,61.0,69.6,1,3,0.6666666666666667,0.28719512067592917,0.012292146682739258,2400
8,4,"(3, 5)",[0],0,"(0, 8)",False,215,53.75,69.63199999999999,2,4,0.5,0.3795157206101709,0.012355804443359375,2400
8,5,"(0, 8)",[2],62,"(8, 5)",False,215,43.0,69.63199999999999,3,5,0.4,-0.8991794605675323,0.012421131134033203,2400
8,6,"(8, 5)",[0],0,"(0, 6)",False,277,46.166666666666664,69.63261999999999,4,6,0.33333333333333337,0.007121555681018507,0.012520551681518555,2400
8,7,"(0, 6)",[2],67,"(6, 8)",False,277,39.57142857142857,69.63261999999999,5,7,0.2857142857142857,-0.38353317438329615,0.012589216232299805,2400
8,8,"(6, 8)",[1],32,"(3, 2)",False,344,43.0,69.63262669999999,6,8,0.25,0.3648155490570037,0.012658119201660156,2400
8,9,"(3, 2)",[0],0,"(0, 2)",False,376,41.77777777777778,69.63262701999999,7,9,0.2222222222222222,-0.49945103835112287,0.012723207473754883,2400
8,10,"(0, 2)",[2],75,"(2, 1)",False,376,37.6,69.63262701999999,8,10,0.19999999999999996,-0.43193179991136665,0.012787818908691406,2400
8,11,"(2, 1)",[1],38,"(0, 4)",False,451,41.0,69.63262702749999,9,11,0.18181818181818177,0.36760846127777286,0.012852191925048828,2400
8,12,"(0, 4)",[2],70,"(4, 2)",False,489,40.75,69.63262702787999,10,12,0.16666666666666663,-2.588910990973031,0.012918710708618164,2400
8,13,"(4, 2)",[0],0,"(0, 4)",False,559,43.0,69.63262702795,11,13,0.15384615384615385,0.016305604623773916,0.012984991073608398,2400
8,14,"(0, 4)",[1],38,"(1, 1)",False,559,39.92857142857143,69.63262702795,12,14,0.1428571428571429,-2.9289720165178115,0.013051033020019531,2400
8,15,"(1, 1)",[1],38,"(0, 1)",True,597,39.8,69.63262702795038,12,15,0.19999999999999996,0.3706511579357107,0.013134479522705078,2400
9,0,"(7, 7)",[0],0,"(0, 7)",False,0,0,0,0,0,1,0,0.013243436813354492,2400
9,1,"(0, 7)",[1],36,"(1, 5)",False,0,0.0,0.0,1,1,0.0,0.24641834460130052,0.013316154479980469,2400
9,2,"(1, 5)",[0],0,"(0, 5)",False,36,18.0,3.6,2,2,0.0,0.013194723415610905,0.013380765914916992,2400
9,3,"(0, 5)",[1],37,"(1, 6)",False,36,12.0,3.6,3,3,0.0,-0.8153923731689454,0.013445138931274414,2400
9,4,"(1, 6)",[0],0,"(0, 8)",False,73,18.25,3.637,4,4,0.0,0.3794947520446924,0.013509988784790039,2400
9,5,"(0, 8)",[2],63,"(8, 8)",False,73,14.6,3.637,5,5,0.0,-1.9835792667312468,0.01357579231262207,2400
9,6,"(8, 8)",[1],31,"(4, 9)",False,136,22.666666666666668,3.63763,6,6,0.0,0.14925975538193256,0.013640642166137695,2400
9,7,"(4, 9)",[1],33,"(3, 8)",False,167,23.857142857142858,3.637661,6,7,0.1428571428571429,0.36864381798334994,0.013707160949707031,2400
9,8,"(3, 8)",[1],34,"(2, 1)",False,200,25.0,3.6376643,6,8,0.25,0.36682518249866686,0.01377105712890625,2400
9,9,"(2, 1)",[1],38,"(1, 0)",False,234,26.0,3.63766464,6,9,0.33333333333333337,0.20982624316408044,0.013834953308105469,2400
9,10,"(1, 0)",[0],0,"(0, 3)",False,272,27.2,3.637664678,7,10,0.30000000000000004,0.009445099027183436,0.013899087905883789,2400
9,11,"(0, 3)",[2],73,"(3, 3)",False,272,24.727272727272727,3.637664678,8,11,0.2727272727272727,-1.7916610368245094,0.013963460922241211,2400
9,12,"(3, 3)",[1],37,"(1, 2)",False,345,28.75,3.63766467873,9,12,0.25,0.6175408751296828,0.014028787612915039,2400
9,13,"(1, 2)",[1],38,"(0, 3)",False,382,29.384615384615383,3.6376646787670004,9,13,0.3076923076923077,0.4432536389614782,0.014101982116699219,2400
9,14,"(0, 3)",[1],38,"(1, 0)",False,420,30.0,3.6376646787708005,9,14,0.3571428571428571,-2.2600851953370964,0.014181852340698242,2400
9,15,"(1, 0)",[2],79,"(0, 3)",True,458,30.533333333333335,3.6376646787711806,10,15,0.33333333333333337,0.19401163640685845,0.014248847961425781,2400
10,0,"(2, 6)",[0],0,"(0, 8)",False,0,0,0,0,0,1,0,0.014356613159179688,2400
10,1,"(0, 8)",[2],63,"(8, 9)",False,0,0.0,0.0,1,1,0.0,-3.205701230101722,0.014421701431274414,2400
10,2,"(8, 9)",[1],31,"(4, 9)",False,63,31.5,6.300000000000001,2,2,0.0,0.3631230389669402,0.014486074447631836,2400
10,3,"(4, 9)",[1],33,"(3, 7)",False,94,31.333333333333332,6.610000000000001,2,3,0.33333333333333337,0.27894587995557873,0.014549732208251953,2400
10,4,"(3, 7)",[0],0,"(0, 9)",False,127,31.75,6.643000000000002,3,4,0.25,0.01455677696307523,0.014615058898925781,2400
10,5,"(0, 9)",[2],62,"(9, 6)",False,127,25.4,6.643000000000002,4,5,0.19999999999999996,-2.9545750508862425,0.014679431915283203,2400
10,6,"(9, 6)",[2],60,"(9, 9)",False,189,31.5,6.643620000000001,4,6,0.33333333333333337,-1.0300941599042819,0.014745712280273438,2400
10,7,"(9, 9)",[2],60,"(9, 6)",False,249,35.57142857142857,6.643680000000002,4,7,0.4285714285714286,0.6750209487135239,0.014811038970947266,2400
10,8,"(9, 6)",[0],0,"(0, 0)",False,309,38.625,6.6436860000000015,5,8,0.375,-1.0053402675565024,0.014876604080200195,2400
10,9,"(0, 0)",[1],39,"(0, 4)",False,309,34.333333333333336,6.6436860000000015,6,9,0.33333333333333337,-6.81699323644493,0.014944314956665039,2400
10,10,"(0, 4)",[0],0,"(0, 1)",False,348,34.8,6.643686039000001,7,10,0.30000000000000004,-2.9244718383327526,0.015009641647338867,2400
10,11,"(0, 1)",[1],39,"(0, 2)",False,348,31.636363636363637,6.643686039000001,8,11,0.2727272727272727,-0.17410014546409422,0.015073776245117188,2400
10,12,"(0, 2)",[2],75,"(2, 0)",False,387,32.25,6.643686039390001,9,12,0.25,-1.2464193372653654,0.01515817642211914,2400
10,13,"(2, 0)",[2],76,"(2, 4)",False,462,35.53846153846154,6.643686039465001,9,13,0.3076923076923077,-0.23861608281927016,0.015226125717163086,2400
10,14,"(2, 4)",[1],36,"(1, 1)",False,538,38.42857142857143,6.643686039472601,10,14,0.2857142857142857,0.3678024920222204,0.015291452407836914,2400
10,15,"(1, 1)",[1],38,"(0, 4)",True,574,38.266666666666666,6.643686039472961,10,15,0.33333333333333337,0.21175672348205904,0.015356302261352539,2400
11,0,"(8, 5)",[1],33,"(3, 5)",False,0,0,0,0,0,1,0,0.015461444854736328,2400
11,1,"(3, 5)",[1],35,"(2, 7)",False,33,33.0,33.0,0,1,1.0,0.26315390819978124,0.015525579452514648,2400
11,2,"(2, 7)",[1],35,"(2, 7)",False,68,34.0,36.5,0,2,1.0,0.5422718035784297,0.015592336654663086,2400
11,3,"(2, 7)",[0],0,"(0, 8)",False,103,34.333333333333336,36.85,1,3,0.6666666666666667,0.560078171631762,0.015656709671020508,2400
11,4,"(0, 8)",[2],63,"(8, 8)",False,103,25.75,36.85,2,4,0.5,-4.536394941901953,0.01572704315185547,2400
11,5,"(8, 8)",[2],60,"(9, 6)",False,166,33.2,36.856300000000005,2,5,0.6,-0.6721541935235245,0.015796184539794922,2400
11,6,"(9, 6)",[1],31,"(4, 7)",False,226,37.666666666666664,36.8569,3,6,0.5,-0.6422735433905893,0.015863418579101562,2400
11,7,"(4, 7)",[2],61,"(9, 5)",False,257,36.714285714285715,36.856931,4,7,0.4285714285714286,0.3011982141457372,0.015945911407470703,2400
11,8,"(9, 5)",[1],32,"(3, 0)",False,318,39.75,36.8569371,5,8,0.375,0.04727670027017285,0.0160367488861084,2400
11,9,"(3, 0)",[2],75,"(2, 3)",False,350,38.888888888888886,36.85693742,6,9,0.33333333333333337,-0.23079660441557598,0.016104459762573242,2400
11,10,"(2, 3)",[1],37,"(1, 3)",False,425,42.5,36.856937495000004,7,10,0.30000000000000004,0.46804383014624384,0.01617717742919922,2400
11,11,"(1, 3)",[0],0,"(0, 1)",False,462,42.0,36.856937498700006,8,11,0.2727272727272727,0.375723856229149,0.01624298095703125,2400
11,12,"(0, 1)",[2],76,"(1, 2)",False,462,38.5,36.856937498700006,9,12,0.25,0.033920665123884974,0.016308307647705078,2400
11,13,"(1, 2)",[1],38,"(1, 2)",False,538,41.38461538461539,36.856937498776006,10,13,0.23076923076923073,0.09335523526054268,0.016373395919799805,2400
